id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48154,Precioso apartamento con wifi,219476,1462512950298658032,Antonio,LA SAIDIA,MORVEDRE,39.48375,-0.37502,Entire home/apt,146.0,2,223,2026-06-14,1.17,4,98,35,Valencia - Regional registration number<br />VT-41540-V<br /><br />Spain - National registration number<br />ESFCTU000046057000472933000000000000000000VT-41540-V6
137143,PENTHOUSE  ON FRONT LINE BEACH,670775,1462525647630459933,Attico Valencia,POBLATS DEL SUD,EL SALER,39.36335,-0.31932,Entire home/apt,,10,1,2013-07-02,0.01,5,0,0,Valencia - Regional registration number<br />VT32745V<br /><br />Spain - National registration number<br />ESFCTU00004605800013364000000000000000000000000327459
149715,1900 Style Valencian Beach  Home for 10px,5947,1462506514113160075,Susana Barbara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46746,-0.32813,Entire home/apt,485.0,1,344,2026-06-21,1.89,1,258,43,Spain - National registration number<br />ESFCTU000046025000580569000000000000000000VT-36469-V8<br /><br />Valencia - Regional registration number<br />VT-36469-V
165971,★ Architectural touch! ★,791187,1462529534006996172,Inés,EXTRAMURS,LA ROQUETA,39.4679,-0.38206,Entire home/apt,211.0,1,612,2026-05-28,3.37,12,97,47,Valencia - Regional registration number<br />VT-32757-V<br /><br />Spain - National registration number<br />ESFCTU000046063000597927000000000000000000VT-32757-V8
182221,Apartments Calatrava City Valencia,1315567,1462517272797878734,Patente Lino,CAMINS AL GRAU,AIORA,39.46321169775777,-0.3432785962616763,Entire home/apt,352.0,3,10,2026-01-04,0.08,2,149,1,Valencia - Regional registration number<br />VT-38755-V<br /><br />Spain - National registration number<br />ESFCTU000046061000948893000000000000000000VT-38755-V8
193326,Habitación balcón cerca de playa y universidades,937597,1462533750280737008,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47299020968316,-0.3289203845922382,Private room,75.0,1,417,2026-05-29,2.33,2,24,41,Spain - National registration number<br />ESHFNT00004602500038211800200000000000000000000000006
225070,Habitación cerca de la playa y universidades,937597,1462533750280737008,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47149687619153,-0.3311840597846388,Private room,80.0,1,300,2026-06-17,1.69,2,58,33,Spain - National registration number<br />ESHFNT00004602500038211800200000000000000000000000007
250981,Apartment Ciudad de Valencia,1315567,1462517272797878734,Patente Lino,CAMINS AL GRAU,LA CREU DEL GRAU,39.46233,-0.34263,Entire home/apt,314.0,10,6,2025-05-04,0.04,2,300,0,Spain - National registration number<br />ESFCNT00004606100094889300000000000000000000000000007<br /><br />Valencia - Regional registration number<br />VT-38755-V
252608,Apartamento privilegiado en el corazón de Valencia,1326001,1462542815388660757,Mariano,CIUTAT VELLA,LA XEREA,39.47396,-0.37405,Entire home/apt,99.0,31,4,2021-08-27,0.02,1,88,0,
253764,"Vintage, gran terraza frente al mar",1332880,1462543002718565528,Terracrea,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.466515,-0.325345,Entire home/apt,345.0,3,85,2026-06-07,0.49,3,32,16,Valencia - Regional registration number<br />CV-VUT0033846-V<br /><br />Spain - National registration number<br />Exempt - hotel complex
