img_has_a_bright_and_sunny_room,img_has_a_terrace_or_balcony,img_has_a_modern_living_room,img_has_a_swimming_pool,listing_id
1.0,1.0,0.0,0.0,48154
0.0,0.0,1.0,0.0,137143
0.0,1.0,0.0,0.0,149715
1.0,0.0,0.0,0.0,165971
1.0,0.0,0.0,0.0,182221
0.0,1.0,0.0,0.0,193326
1.0,0.0,1.0,0.0,225070
1.0,0.0,0.0,0.0,252608
,,,,253764
1.0,0.0,0.0,0.0,260929
1.0,0.0,0.0,0.0,260935
0.0,0.0,0.0,1.0,273373
,,,,276455
1.0,0.0,0.0,0.0,288057
1.0,0.0,0.0,0.0,308525
1.0,0.0,0.0,0.0,313137
1.0,0.0,0.0,0.0,323609
1.0,0.0,1.0,0.0,346695
1.0,0.0,1.0,0.0,361016
1.0,0.0,0.0,0.0,364517
1.0,0.0,0.0,0.0,411385
1.0,0.0,0.0,0.0,421405
0.0,0.0,1.0,0.0,447232
1.0,0.0,1.0,0.0,467151
,,,,472858
1.0,0.0,0.0,0.0,476415
1.0,0.0,0.0,0.0,478752
1.0,0.0,0.0,0.0,509829
1.0,0.0,0.0,0.0,524523
,,,,556620
1.0,0.0,0.0,0.0,579273
1.0,0.0,1.0,0.0,595233
,,,,633762
0.0,1.0,1.0,0.0,643644
0.0,1.0,0.0,0.0,663047
1.0,0.0,1.0,0.0,672551
1.0,0.0,0.0,0.0,681002
0.0,1.0,0.0,0.0,681925
0.0,1.0,0.0,0.0,682219
1.0,0.0,0.0,0.0,688130
1.0,0.0,0.0,0.0,716081
1.0,0.0,0.0,0.0,720307
0.0,1.0,0.0,0.0,760857
1.0,0.0,0.0,0.0,772380
1.0,0.0,1.0,0.0,782942
1.0,0.0,1.0,0.0,853840
0.0,0.0,1.0,0.0,880307
1.0,0.0,0.0,0.0,923390
1.0,0.0,0.0,0.0,927457
1.0,0.0,1.0,0.0,938734
1.0,0.0,1.0,0.0,955937
0.0,1.0,0.0,0.0,959190
1.0,0.0,1.0,0.0,960147
1.0,0.0,1.0,0.0,969359
1.0,0.0,1.0,0.0,970809
1.0,0.0,0.0,0.0,983548
1.0,0.0,0.0,0.0,993282
1.0,0.0,0.0,0.0,995182
0.0,1.0,0.0,0.0,1043431
1.0,0.0,1.0,0.0,1076404
1.0,0.0,0.0,0.0,1145001
0.0,1.0,0.0,0.0,1147656
1.0,0.0,0.0,0.0,1191980
1.0,0.0,1.0,0.0,1232560
1.0,1.0,1.0,0.0,1308898
0.0,0.0,1.0,0.0,1331704
1.0,0.0,0.0,0.0,1381562
1.0,0.0,0.0,0.0,1381987
0.0,1.0,0.0,0.0,1400077
1.0,0.0,0.0,0.0,1460051
1.0,0.0,1.0,0.0,1470620
1.0,0.0,0.0,0.0,1499012
1.0,0.0,1.0,0.0,1538774
1.0,0.0,0.0,0.0,1587310
1.0,0.0,0.0,0.0,1639276
1.0,1.0,0.0,0.0,1702630
,,,,1713200
1.0,0.0,0.0,0.0,1715466
1.0,0.0,1.0,0.0,1740954
0.0,1.0,0.0,0.0,1830872
1.0,0.0,1.0,0.0,1842000
1.0,0.0,1.0,0.0,1842193
1.0,0.0,1.0,0.0,1895636
,,,,1947238
1.0,0.0,0.0,0.0,1991246
0.0,0.0,1.0,0.0,2053439
1.0,0.0,1.0,0.0,2211787
1.0,0.0,0.0,0.0,2353221
0.0,0.0,1.0,0.0,2360229
1.0,0.0,1.0,0.0,2364778
1.0,0.0,1.0,0.0,2375520
1.0,0.0,0.0,0.0,2459637
1.0,0.0,1.0,0.0,2486462
0.0,1.0,0.0,0.0,2488639
1.0,0.0,0.0,0.0,2533554
1.0,1.0,1.0,0.0,2534892
1.0,0.0,0.0,0.0,2535466
1.0,0.0,0.0,0.0,2606636
1.0,0.0,0.0,0.0,2646820
